"idx","ten","one","url","base","imgmc","partial2","start","end","last"
0,0,0,"http://www.pollen.com/make_img.asp?d=1&v=%98%60c","http://www.pollen.com/","make_img.asp?d=1&v=","%98%60c","%98","%60","c"
1,0,1,"http://www.pollen.com/make_img.asp?d=1&v=%98%60d","http://www.pollen.com/","make_img.asp?d=1&v=","%98%60d","%98","%60","d"
2,0,2,"http://www.pollen.com/make_img.asp?d=1&v=%98%60e","http://www.pollen.com/","make_img.asp?d=1&v=","%98%60e","%98","%60","e"
3,0,3,"http://www.pollen.com/make_img.asp?d=1&v=%98%60f","http://www.pollen.com/","make_img.asp?d=1&v=","%98%60f","%98","%60","f"
4,0,4,"http://www.pollen.com/make_img.asp?d=1&v=%98%60g","http://www.pollen.com/","make_img.asp?d=1&v=","%98%60g","%98","%60","g"
5,0,5,"http://www.pollen.com/make_img.asp?d=1&v=%98%60h","http://www.pollen.com/","make_img.asp?d=1&v=","%98%60h","%98","%60","h"
6,0,6,"http://www.pollen.com/make_img.asp?d=1&v=%98%60I","http://www.pollen.com/","make_img.asp?d=1&v=","%98%60I","%98","%60","I"
7,0,7,"http://www.pollen.com/make_img.asp?d=1&v=%98%60j","http://www.pollen.com/","make_img.asp?d=1&v=","%98%60j","%98","%60","j"
8,0,8,"http://www.pollen.com/make_img.asp?d=1&v=%98%60k","http://www.pollen.com/","make_img.asp?d=1&v=","%98%60k","%98","%60","k"
9,0,9,"http://www.pollen.com/make_img.asp?d=1&v=%98%60l","http://www.pollen.com/","make_img.asp?d=1&v=","%98%60l","%98","%60","l"
10,1,0,"http://www.pollen.com/make_img.asp?d=1&v=%99%60c","http://www.pollen.com/","make_img.asp?d=1&v=","%99%60c","%99","%60","c"
11,1,1,"http://www.pollen.com/make_img.asp?d=1&v=%99%60d","http://www.pollen.com/","make_img.asp?d=1&v=","%99%60d","%99","%60","d"
12,1,2,"http://www.pollen.com/make_img.asp?d=1&v=%99%60e","http://www.pollen.com/","make_img.asp?d=1&v=","%99%60e","%99","%60","e"
13,1,3,"http://www.pollen.com/make_img.asp?d=1&v=%99%60f","http://www.pollen.com/","make_img.asp?d=1&v=","%99%60f","%99","%60","f"
14,1,4,"http://www.pollen.com/make_img.asp?d=1&v=%99%60g","http://www.pollen.com/","make_img.asp?d=1&v=","%99%60g","%99","%60","g"
15,1,5,"http://www.pollen.com/make_img.asp?d=1&v=%99%60h","http://www.pollen.com/","make_img.asp?d=1&v=","%99%60h","%99","%60","h"
16,1,6,"http://www.pollen.com/make_img.asp?d=1&v=%99%60I","http://www.pollen.com/","make_img.asp?d=1&v=","%99%60I","%99","%60","I"
17,1,7,"http://www.pollen.com/make_img.asp?d=1&v=%99%60j","http://www.pollen.com/","make_img.asp?d=1&v=","%99%60j","%99","%60","j"
18,1,8,"http://www.pollen.com/make_img.asp?d=1&v=%99%60k","http://www.pollen.com/","make_img.asp?d=1&v=","%99%60k","%99","%60","k"
19,1,9,"http://www.pollen.com/make_img.asp?d=1&v=%99%60l","http://www.pollen.com/","make_img.asp?d=1&v=","%99%60l","%99","%60","l"
20,2,0,"http://www.pollen.com/make_img.asp?d=1&v=%9A%60c","http://www.pollen.com/","make_img.asp?d=1&v=","%9A%60c","%9A","%60","c"
21,2,1,"http://www.pollen.com/make_img.asp?d=1&v=%9A%60d","http://www.pollen.com/","make_img.asp?d=1&v=","%9A%60d","%9A","%60","d"
22,2,2,"http://www.pollen.com/make_img.asp?d=1&v=%9A%60e","http://www.pollen.com/","make_img.asp?d=1&v=","%9A%60e","%9A","%60","e"
23,2,3,"http://www.pollen.com/make_img.asp?d=1&v=%9A%60f","http://www.pollen.com/","make_img.asp?d=1&v=","%9A%60f","%9A","%60","f"
24,2,4,"http://www.pollen.com/make_img.asp?d=1&v=%9A%60g","http://www.pollen.com/","make_img.asp?d=1&v=","%9A%60g","%9A","%60","g"
25,2,5,"http://www.pollen.com/make_img.asp?d=1&v=%9A%60h","http://www.pollen.com/","make_img.asp?d=1&v=","%9A%60h","%9A","%60","h"
26,2,6,"http://www.pollen.com/make_img.asp?d=1&v=%9A%60I","http://www.pollen.com/","make_img.asp?d=1&v=","%9A%60I","%9A","%60","I"
27,2,7,"http://www.pollen.com/make_img.asp?d=1&v=%9A%60j","http://www.pollen.com/","make_img.asp?d=1&v=","%9A%60j","%9A","%60","j"
28,2,8,"http://www.pollen.com/make_img.asp?d=1&v=%9A%60k","http://www.pollen.com/","make_img.asp?d=1&v=","%9A%60k","%9A","%60","k"
29,2,9,"http://www.pollen.com/make_img.asp?d=1&v=%9A%60l","http://www.pollen.com/","make_img.asp?d=1&v=","%9A%60l","%9A","%60","l"
30,3,0,"http://www.pollen.com/make_img.asp?d=1&v=%9B%60c","http://www.pollen.com/","make_img.asp?d=1&v=","%9B%60c","%9B","%60","c"
31,3,1,"http://www.pollen.com/make_img.asp?d=1&v=%9B%60d","http://www.pollen.com/","make_img.asp?d=1&v=","%9B%60d","%9B","%60","d"
32,3,2,"http://www.pollen.com/make_img.asp?d=1&v=%9B%60e","http://www.pollen.com/","make_img.asp?d=1&v=","%9B%60e","%9B","%60","e"
33,3,3,"http://www.pollen.com/make_img.asp?d=1&v=%9B%60f","http://www.pollen.com/","make_img.asp?d=1&v=","%9B%60f","%9B","%60","f"
34,3,4,"http://www.pollen.com/make_img.asp?d=1&v=%9B%60g","http://www.pollen.com/","make_img.asp?d=1&v=","%9B%60g","%9B","%60","g"
35,3,5,"http://www.pollen.com/make_img.asp?d=1&v=%9B%60h","http://www.pollen.com/","make_img.asp?d=1&v=","%9B%60h","%9B","%60","h"
36,3,6,"http://www.pollen.com/make_img.asp?d=1&v=%9B%60I","http://www.pollen.com/","make_img.asp?d=1&v=","%9B%60I","%9B","%60","I"
37,3,7,"http://www.pollen.com/make_img.asp?d=1&v=%9B%60j","http://www.pollen.com/","make_img.asp?d=1&v=","%9B%60j","%9B","%60","j"
38,3,8,"http://www.pollen.com/make_img.asp?d=1&v=%9B%60k","http://www.pollen.com/","make_img.asp?d=1&v=","%9B%60k","%9B","%60","k"
39,3,9,"http://www.pollen.com/make_img.asp?d=1&v=%9B%60l","http://www.pollen.com/","make_img.asp?d=1&v=","%9B%60l","%9B","%60","l"
40,4,0,"http://www.pollen.com/make_img.asp?d=1&v=%9C%60c","http://www.pollen.com/","make_img.asp?d=1&v=","%9C%60c","%9C","%60","c"
41,4,1,"http://www.pollen.com/make_img.asp?d=1&v=%9C%60d","http://www.pollen.com/","make_img.asp?d=1&v=","%9C%60d","%9C","%60","d"
42,4,2,"http://www.pollen.com/make_img.asp?d=1&v=%9C%60e","http://www.pollen.com/","make_img.asp?d=1&v=","%9C%60e","%9C","%60","e"
43,4,3,"http://www.pollen.com/make_img.asp?d=1&v=%9C%60f","http://www.pollen.com/","make_img.asp?d=1&v=","%9C%60f","%9C","%60","f"
44,4,4,"http://www.pollen.com/make_img.asp?d=1&v=%9C%60g","http://www.pollen.com/","make_img.asp?d=1&v=","%9C%60g","%9C","%60","g"
45,4,5,"http://www.pollen.com/make_img.asp?d=1&v=%9C%60h","http://www.pollen.com/","make_img.asp?d=1&v=","%9C%60h","%9C","%60","h"
46,4,6,"http://www.pollen.com/make_img.asp?d=1&v=%9C%60I","http://www.pollen.com/","make_img.asp?d=1&v=","%9C%60I","%9C","%60","I"
47,4,7,"http://www.pollen.com/make_img.asp?d=1&v=%9C%60j","http://www.pollen.com/","make_img.asp?d=1&v=","%9C%60j","%9C","%60","j"
48,4,8,"http://www.pollen.com/make_img.asp?d=1&v=%9C%60k","http://www.pollen.com/","make_img.asp?d=1&v=","%9C%60k","%9C","%60","k"
49,4,9,"http://www.pollen.com/make_img.asp?d=1&v=%9C%60l","http://www.pollen.com/","make_img.asp?d=1&v=","%9C%60l","%9C","%60","l"
50,5,0,"http://www.pollen.com/make_img.asp?d=1&v=%9D%60c","http://www.pollen.com/","make_img.asp?d=1&v=","%9D%60c","%9D","%60","c"
51,5,1,"http://www.pollen.com/make_img.asp?d=1&v=%9D%60d","http://www.pollen.com/","make_img.asp?d=1&v=","%9D%60d","%9D","%60","d"
52,5,2,"http://www.pollen.com/make_img.asp?d=1&v=%9D%60e","http://www.pollen.com/","make_img.asp?d=1&v=","%9D%60e","%9D","%60","e"
53,5,3,"http://www.pollen.com/make_img.asp?d=1&v=%9D%60f","http://www.pollen.com/","make_img.asp?d=1&v=","%9D%60f","%9D","%60","f"
54,5,4,"http://www.pollen.com/make_img.asp?d=1&v=%9D%60g","http://www.pollen.com/","make_img.asp?d=1&v=","%9D%60g","%9D","%60","g"
55,5,5,"http://www.pollen.com/make_img.asp?d=1&v=%9D%60h","http://www.pollen.com/","make_img.asp?d=1&v=","%9D%60h","%9D","%60","h"
56,5,6,"http://www.pollen.com/make_img.asp?d=1&v=%9D%60I","http://www.pollen.com/","make_img.asp?d=1&v=","%9D%60I","%9D","%60","I"
57,5,7,"http://www.pollen.com/make_img.asp?d=1&v=%9D%60j","http://www.pollen.com/","make_img.asp?d=1&v=","%9D%60j","%9D","%60","j"
58,5,8,"http://www.pollen.com/make_img.asp?d=1&v=%9D%60k","http://www.pollen.com/","make_img.asp?d=1&v=","%9D%60k","%9D","%60","k"
59,5,9,"http://www.pollen.com/make_img.asp?d=1&v=%9D%60l","http://www.pollen.com/","make_img.asp?d=1&v=","%9D%60l","%9D","%60","l"
60,6,0,"http://www.pollen.com/make_img.asp?d=1&v=%9E%60c","http://www.pollen.com/","make_img.asp?d=1&v=","%9E%60c","%9E","%60","c"
61,6,1,"http://www.pollen.com/make_img.asp?d=1&v=%9E%60d","http://www.pollen.com/","make_img.asp?d=1&v=","%9E%60d","%9E","%60","d"
62,6,2,"http://www.pollen.com/make_img.asp?d=1&v=%9E%60e","http://www.pollen.com/","make_img.asp?d=1&v=","%9E%60e","%9E","%60","e"
63,6,3,"http://www.pollen.com/make_img.asp?d=1&v=%9E%60f","http://www.pollen.com/","make_img.asp?d=1&v=","%9E%60f","%9E","%60","f"
64,6,4,"http://www.pollen.com/make_img.asp?d=1&v=%9E%60g","http://www.pollen.com/","make_img.asp?d=1&v=","%9E%60g","%9E","%60","g"
65,6,5,"http://www.pollen.com/make_img.asp?d=1&v=%9E%60h","http://www.pollen.com/","make_img.asp?d=1&v=","%9E%60h","%9E","%60","h"
66,6,6,"http://www.pollen.com/make_img.asp?d=1&v=%9E%60I","http://www.pollen.com/","make_img.asp?d=1&v=","%9E%60I","%9E","%60","I"
67,6,7,"http://www.pollen.com/make_img.asp?d=1&v=%9E%60j","http://www.pollen.com/","make_img.asp?d=1&v=","%9E%60j","%9E","%60","j"
68,6,8,"http://www.pollen.com/make_img.asp?d=1&v=%9E%60k","http://www.pollen.com/","make_img.asp?d=1&v=","%9E%60k","%9E","%60","k"
69,6,9,"http://www.pollen.com/make_img.asp?d=1&v=%9E%60l","http://www.pollen.com/","make_img.asp?d=1&v=","%9E%60l","%9E","%60","l"
70,7,0,"http://www.pollen.com/make_img.asp?d=1&v=%9F%60c","http://www.pollen.com/","make_img.asp?d=1&v=","%9F%60c","%9F","%60","c"
71,7,1,"http://www.pollen.com/make_img.asp?d=1&v=%9F%60d","http://www.pollen.com/","make_img.asp?d=1&v=","%9F%60d","%9F","%60","d"
72,7,2,"http://www.pollen.com/make_img.asp?d=1&v=%9F%60e","http://www.pollen.com/","make_img.asp?d=1&v=","%9F%60e","%9F","%60","e"
73,7,3,"http://www.pollen.com/make_img.asp?d=1&v=%9F%60f","http://www.pollen.com/","make_img.asp?d=1&v=","%9F%60f","%9F","%60","f"
74,7,4,"http://www.pollen.com/make_img.asp?d=1&v=%9F%60g","http://www.pollen.com/","make_img.asp?d=1&v=","%9F%60g","%9F","%60","g"
75,7,5,"http://www.pollen.com/make_img.asp?d=1&v=%9F%60h","http://www.pollen.com/","make_img.asp?d=1&v=","%9F%60h","%9F","%60","h"
76,7,6,"http://www.pollen.com/make_img.asp?d=1&v=%9F%60I","http://www.pollen.com/","make_img.asp?d=1&v=","%9F%60I","%9F","%60","I"
77,7,7,"http://www.pollen.com/make_img.asp?d=1&v=%9F%60j","http://www.pollen.com/","make_img.asp?d=1&v=","%9F%60j","%9F","%60","j"
78,7,8,"http://www.pollen.com/make_img.asp?d=1&v=%9F%60k","http://www.pollen.com/","make_img.asp?d=1&v=","%9F%60k","%9F","%60","k"
79,7,9,"http://www.pollen.com/make_img.asp?d=1&v=%9F%60l","http://www.pollen.com/","make_img.asp?d=1&v=","%9F%60l","%9F","%60","l"
80,8,0,"http://www.pollen.com/make_img.asp?d=1&v=%A0%60c","http://www.pollen.com/","make_img.asp?d=1&v=","%A0%60c","%A0","%60","c"
81,8,1,"http://www.pollen.com/make_img.asp?d=1&v=%A0%60d","http://www.pollen.com/","make_img.asp?d=1&v=","%A0%60d","%A0","%60","d"
82,8,2,"http://www.pollen.com/make_img.asp?d=1&v=%A0%60e","http://www.pollen.com/","make_img.asp?d=1&v=","%A0%60e","%A0","%60","e"
83,8,3,"http://www.pollen.com/make_img.asp?d=1&v=%A0%60f","http://www.pollen.com/","make_img.asp?d=1&v=","%A0%60f","%A0","%60","f"
84,8,4,"http://www.pollen.com/make_img.asp?d=1&v=%A0%60g","http://www.pollen.com/","make_img.asp?d=1&v=","%A0%60g","%A0","%60","g"
85,8,5,"http://www.pollen.com/make_img.asp?d=1&v=%A0%60h","http://www.pollen.com/","make_img.asp?d=1&v=","%A0%60h","%A0","%60","h"
86,8,6,"http://www.pollen.com/make_img.asp?d=1&v=%A0%60I","http://www.pollen.com/","make_img.asp?d=1&v=","%A0%60I","%A0","%60","I"
87,8,7,"http://www.pollen.com/make_img.asp?d=1&v=%A0%60j","http://www.pollen.com/","make_img.asp?d=1&v=","%A0%60j","%A0","%60","j"
88,8,8,"http://www.pollen.com/make_img.asp?d=1&v=%A0%60k","http://www.pollen.com/","make_img.asp?d=1&v=","%A0%60k","%A0","%60","k"
89,8,9,"http://www.pollen.com/make_img.asp?d=1&v=%A0%60l","http://www.pollen.com/","make_img.asp?d=1&v=","%A0%60l","%A0","%60","l"
90,9,0,"http://www.pollen.com/make_img.asp?d=1&v=%A1%60c","http://www.pollen.com/","make_img.asp?d=1&v=","%A1%60c","%A1","%60","c"
91,9,1,"http://www.pollen.com/make_img.asp?d=1&v=%A1%60d","http://www.pollen.com/","make_img.asp?d=1&v=","%A1%60d","%A1","%60","d"
92,9,2,"http://www.pollen.com/make_img.asp?d=1&v=%A1%60e","http://www.pollen.com/","make_img.asp?d=1&v=","%A1%60e","%A1","%60","e"
93,9,3,"http://www.pollen.com/make_img.asp?d=1&v=%A1%60f","http://www.pollen.com/","make_img.asp?d=1&v=","%A1%60f","%A1","%60","f"
94,9,4,"http://www.pollen.com/make_img.asp?d=1&v=%A1%60g","http://www.pollen.com/","make_img.asp?d=1&v=","%A1%60g","%A1","%60","g"
95,9,5,"http://www.pollen.com/make_img.asp?d=1&v=%A1%60h","http://www.pollen.com/","make_img.asp?d=1&v=","%A1%60h","%A1","%60","h"
96,9,6,"http://www.pollen.com/make_img.asp?d=1&v=%A1%60I","http://www.pollen.com/","make_img.asp?d=1&v=","%A1%60I","%A1","%60","I"
97,9,7,"http://www.pollen.com/make_img.asp?d=1&v=%A1%60j","http://www.pollen.com/","make_img.asp?d=1&v=","%A1%60j","%A1","%60","j"
98,9,8,"http://www.pollen.com/make_img.asp?d=1&v=%A1%60k","http://www.pollen.com/","make_img.asp?d=1&v=","%A1%60k","%A1","%60","k"
99,9,9,"http://www.pollen.com/make_img.asp?d=1&v=%A1%60l","http://www.pollen.com/","make_img.asp?d=1&v=","%A1%60l","%A1","%60","l"
100,10,0,"http://www.pollen.com/make_img.asp?d=1&v=%99bad","http://www.pollen.com/","make_img.asp?d=1&v=","%99bad","%99","ba","d"
101,10,1,"http://www.pollen.com/make_img.asp?d=1&v=%99bae","http://www.pollen.com/","make_img.asp?d=1&v=","%99bae","%99","ba","e"
102,10,2,"http://www.pollen.com/make_img.asp?d=1&v=%99baf","http://www.pollen.com/","make_img.asp?d=1&v=","%99baf","%99","ba","f"
103,10,3,"http://www.pollen.com/make_img.asp?d=1&v=%99bag","http://www.pollen.com/","make_img.asp?d=1&v=","%99bag","%99","ba","g"
104,10,4,"http://www.pollen.com/make_img.asp?d=1&v=%99bah","http://www.pollen.com/","make_img.asp?d=1&v=","%99bah","%99","ba","h"
105,10,5,"http://www.pollen.com/make_img.asp?d=1&v=%99baI","http://www.pollen.com/","make_img.asp?d=1&v=","%99baI","%99","ba","I"
106,10,6,"http://www.pollen.com/make_img.asp?d=1&v=%99baj","http://www.pollen.com/","make_img.asp?d=1&v=","%99baj","%99","ba","j"
107,10,7,"http://www.pollen.com/make_img.asp?d=1&v=%99bak","http://www.pollen.com/","make_img.asp?d=1&v=","%99bak","%99","ba","k"
108,10,8,"http://www.pollen.com/make_img.asp?d=1&v=%99bal","http://www.pollen.com/","make_img.asp?d=1&v=","%99bal","%99","ba","l"
109,10,9,"http://www.pollen.com/make_img.asp?d=1&v=%99bam","http://www.pollen.com/","make_img.asp?d=1&v=","%99bam","%99","ba","m"
110,11,0,"http://www.pollen.com/make_img.asp?d=1&v=%99cad","http://www.pollen.com/","make_img.asp?d=1&v=","%99cad","%99","ca","d"
111,11,1,"http://www.pollen.com/make_img.asp?d=1&v=%99bae","http://www.pollen.com/","make_img.asp?d=1&v=","%99bae","%99","ba","e"
112,11,2,"http://www.pollen.com/make_img.asp?d=1&v=%99baf","http://www.pollen.com/","make_img.asp?d=1&v=","%99baf","%99","ba","f"
113,11,3,"http://www.pollen.com/make_img.asp?d=1&v=%99bag","http://www.pollen.com/","make_img.asp?d=1&v=","%99bag","%99","ba","g"
114,11,4,"http://www.pollen.com/make_img.asp?d=1&v=%99bah","http://www.pollen.com/","make_img.asp?d=1&v=","%99bah","%99","ba","h"
115,11,5,"http://www.pollen.com/make_img.asp?d=1&v=%99baI","http://www.pollen.com/","make_img.asp?d=1&v=","%99baI","%99","ba","I"
116,11,6,"http://www.pollen.com/make_img.asp?d=1&v=%99baj","http://www.pollen.com/","make_img.asp?d=1&v=","%99baj","%99","ba","j"
117,11,7,"http://www.pollen.com/make_img.asp?d=1&v=%99bak","http://www.pollen.com/","make_img.asp?d=1&v=","%99bak","%99","ba","k"
118,11,8,"http://www.pollen.com/make_img.asp?d=1&v=%99bal","http://www.pollen.com/","make_img.asp?d=1&v=","%99bal","%99","ba","l"
119,11,9,"http://www.pollen.com/make_img.asp?d=1&v=%99bam","http://www.pollen.com/","make_img.asp?d=1&v=","%99bam","%99","ba","m"
120,12,0,"http://www.pollen.com/make_img.asp?d=1&v=%99dad","http://www.pollen.com/","make_img.asp?d=1&v=","%99dad","%99","da","d"
